latitude,longitude,n
32.045,34.7634,289
32.045,34.774,955
32.045,34.7741,1027
32.045,34.7758,1
32.045,34.7774,1
32.045,34.7787,566
32.045,34.7788,21
32.045,34.7953,49
32.045,34.7984,175
32.045,34.7985,55
32.045,34.8012,56
32.045,34.8064,80
32.045,34.8067,143
32.045,34.8068,959
32.045,34.8074,422
32.045,34.8075,415
32.0451,34.7675,31295
32.0451,34.7682,1
32.0451,34.7741,781
32.0451,34.7742,95
32.0451,34.7743,4
32.0451,34.7757,413
32.0451,34.7758,319
32.0451,34.7759,12
32.0451,34.7828,823
32.0451,34.7985,10
32.0451,34.8015,116
32.0451,34.805,938
32.0451,34.8067,252
32.0451,34.8068,436
32.0451,34.8075,608
32.0451,34.8114,31
32.0451,34.8115,20
32.0451,34.8116,1
32.0451,34.8122,364
32.0452,34.7634,1094
32.0452,34.7755,2
32.0452,34.7756,1
32.0452,34.7757,24
32.0452,34.779,156
32.0452,34.7791,296
32.0452,34.7801,16
32.0452,34.7802,5
32.0452,34.7803,291
32.0452,34.7952,54
32.0452,34.7985,33
32.0452,34.8018,10
32.0452,34.8045,3
32.0452,34.8046,910
32.0452,34.805,105
32.0452,34.8051,100
32.0452,34.8064,172
32.0452,34.8067,1
32.0452,34.8115,19
32.0452,34.8122,100
32.0453,34.7634,510
32.0453,34.7782,114
32.0453,34.7789,596
32.0453,34.779,661
32.0453,34.7791,852
32.0453,34.7799,1
32.0453,34.78,99
32.0453,34.7801,50
32.0453,34.7802,1
32.0453,34.7825,204
32.0453,34.7849,236
32.0453,34.795,25
32.0453,34.8045,100
32.0453,34.8046,122
32.0453,34.8047,2
32.0453,34.8048,2
32.0453,34.8049,1
32.0453,34.805,637
32.0453,34.8051,309
32.0453,34.8122,59
32.0453,34.8123,14
32.0453,34.8124,145
32.0454,34.7636,56
32.0454,34.7637,938
32.0454,34.8047,5
32.0454,34.8048,13
32.0454,34.8049,21
32.0454,34.805,7
32.0454,34.8052,1
32.0455,34.7782,242
32.0455,34.7783,280
32.0455,34.7784,1100
32.0455,34.78,60
32.0455,34.7807,3
32.0455,34.7953,86
32.0455,34.8046,94
32.0455,34.8048,15
32.0455,34.8049,32
32.0455,34.805,27
32.0455,34.8051,2
32.0455,34.8052,4
32.0456,34.7672,85
32.0456,34.7783,385
32.0456,34.7784,411
32.0456,34.7785,240
32.0456,34.7799,948
32.0456,34.78,120
32.0456,34.7807,320
32.0456,34.7808,51
32.0456,34.8045,2
32.0456,34.8048,5
32.0456,34.8049,16
32.0456,34.805,4
32.0456,34.8118,69
32.0456,34.8119,22
32.0456,34.812,451
32.0456,34.8121,1
32.0457,34.7762,378
32.0457,34.7763,364
32.0457,34.78,30
32.0457,34.7806,81
32.0457,34.7807,35
32.0457,34.7808,48
32.0457,34.7985,163
32.0457,34.7986,92
32.0457,34.8,45
32.0457,34.8018,69
32.0457,34.8096,298
32.0457,34.8097,77
32.0457,34.8119,503
32.0458,34.7758,242
32.0458,34.7763,1
32.0458,34.7769,365
32.0458,34.78,618
32.0458,34.7801,369
32.0458,34.7806,522
32.0458,34.7807,223
32.0458,34.7808,107
32.0458,34.7985,17
32.0458,34.7986,47
32.0458,34.8,434
32.0458,34.8033,587
32.0458,34.8097,31
32.0458,34.8119,278
32.0459,34.7757,23
32.0459,34.7769,313
32.0459,34.7792,1
32.0459,34.7793,136
32.0459,34.7794,23
32.0459,34.7806,90
32.0459,34.7807,16
32.0459,34.7827,2
32.0459,34.7828,6
32.0459,34.8,405
32.0459,34.8001,137
32.0459,34.8033,242
32.0459,34.8118,18
32.0459,34.8119,24
32.0459,34.812,110
32.046,34.7622,4
32.046,34.7623,1
32.046,34.7756,1622
32.046,34.7757,447
32.046,34.7764,86
32.046,34.7793,20
32.046,34.7801,60
32.046,34.7806,374
32.046,34.7918,160
32.046,34.8001,2
32.046,34.8002,6
32.046,34.8003,946
32.046,34.8004,229
32.046,34.8005,46
32.046,34.8006,45
32.046,34.8007,269
32.046,34.8053,5
32.046,34.8066,40
32.046,34.8103,2
32.046,34.8104,1
32.046,34.812,1
32.0461,34.7756,1400
32.0461,34.7757,451
32.0461,34.7763,1
32.0461,34.7764,171
32.0461,34.7798,3
32.0461,34.7801,77
32.0461,34.7802,35
32.0461,34.7806,46
32.0461,34.783,606
32.0461,34.7949,337
32.0461,34.7956,76
32.0461,34.8002,43
32.0461,34.8003,323
32.0461,34.8004,547
32.0461,34.8005,189
32.0461,34.8006,1
32.0461,34.8007,131
32.0461,34.8014,193
32.0461,34.8015,146
32.0461,34.8103,24
32.0461,34.8104,38
32.0461,34.8105,1
